"==================== CREDENTIALS CONFIGURATION PAGE =====================","================================================"
"Credentials","Credenciais"
"Get your credentials access_token and public_key, visit the country in which your account was created: <a href=""https://www.pagamentospix.com.br/mla/account/credentials"" target=""_blank"">Argentina</a>, <a href=""https://www.pagamentospix.com.br/mlb/account/credentials"" target=""_blank"">Brazil</a>, <a href=""https://www.pagamentospix.com.br/mlc/account/credentials"" target=""_blank"">Chile</a>, <a href=""https://www.pagamentospix.com.br/mco/account/credentials"" target=""_blank"">Colombia</a>, <a href=""https://www.pagamentospix.com.br/mlm/account/credentials"" target=""_blank"">Mexico</a>, <a href=""https://www.pagamentospix.com.br/mlu/account/credentials"" target=""_blank"">Uruguay</a> and <a href=""https://www.pagamentospix.com.br/mpe/account/credentials"" target=""_blank"">Peru</a>.","Obtenha as credenciais access_token e public_key do Pix, acessando o link de acordo com o país onde a sua conta foi criada: <a href=""https://www.pagamentospix.com.br/mla/account/credentials"" target=""_blank"">Argentina</a>, <a href=""https://www.pagamentospix.com.br/mlb/account/credentials"" target=""_blank"">Brazil</a>, <a href=""https://www.pagamentospix.com.br/mlc/account/credentials"" target=""_blank"">Chile</a>, <a href=""https://www.pagamentospix.com.br/mco/account/credentials"" target=""_blank"">Colombia</a>, <a href=""https://www.pagamentospix.com.br/mlm/account/credentials"" target=""_blank"">Mexico</a>, <a href=""https://www.pagamentospix.com.br/mlu/account/credentials"" target=""_blank"">Uruguay</a> ou <a href=""https://www.pagamentospix.com.br/mpe/account/credentials"" target=""_blank"">Peru</a>."
"==================== ORDER MANAGEMENT CONFIGURATION PAGE =====================","================================================"
"Order Management","Gerenciamento de Orden"
"Automatic update of Order Status (Webhooks)","Atualização automática do status do pedido (webhooks)"
"Order status when payment is approved","Status do pedido quando o status do pagamento é approved"
"Order status when payment is in_process","Status do pedido quando o status do pagamento é in_process"
"Order status when payment is pending","Status do pedido quando o status do pagamento é pending"
"Order status when payment is rejected","Status do pedido quando o status do pagamento é rejected"
"Order status when payment is canceled","Status do pedido quando o status do pagamento é canceled"
"Order status when payment is chargeback","Status do pedido quando o status do pagamento é chargeback"
"Order status when payment is in_mediation","Status do pedido quando o status do pagamento é in_mediation"
"Order status when payment is refunded","Status do pedido quando o status do pagamento é refunded"
"Order status when payment is partually refunded","Status do pedido quando o status do pagamento é partially_refunded"
"API Integration","Integração com API"
"Refund payment","Devolução de pagamentos"
"Enable payment refund when a Credit Memo is created, the refund will occur if the payment is Approved.","Habilita a devolução de pagamentos quando é criado uma Credit Memo. A devolução ocorrerá se o status do pagamento for aprovado."
"Cancel payment","Cancelar pagamentos"
"Enable automatic cancellation of Payment in the Pix when an order is canceled. Payment is only canceled when payment is pending or in_process.","Habilita o cancelamento automatico de pagamentos no Pix quando a orden é cancelada. O pagamento só será cancelado quando o status do pagamento for pending ou in_process."

"==================== CUSTOM CHECKOUT CONFIGURATION PAGE =====================","================================================"
"Custom Checkout - Credit and Debit Card","Custom Checkout - Cartão de Crédito"
"Enabled","Habilitado"
"It is a requirement that you have a SSL certificate, and the payment form to be provided under an HTTPS page. During the sandbox mode tests, you can operate over HTTP, but for homologation you'll need to acquire the certificate in case you don't have it.","É um requisito que tenha um certificado SSL e que o formulário de pagamentos esteja sobre uma página HTTPS. Durante os testes em modo sandbox o ambiente poderá ser HTTP, mas para a homologação, deverá adquirir o certificado."
"Payment Title","Titulo do Método de Pagamento"
"Statement Descriptor","Identificação na fatura."
"Text that will identify the payment on the credit card invoice, this functionality is limited to some countries.","Texto que identificará o pagamento na fatura do cartão de crédito, essa funcionalidade não está disponível en todos os países."
"Binary Mode","Modo binario"
"This functionality will mark the payment to approve or reject at the time it is created, there will be no intermediate status pending.","Esse modo de processamento terá apenas pagamentos com status aprovados ou rejeitados. Não existirá status intermediarios como in_proccess ou pending."
"Banner Checkout","Banner Checkout"
"Checkout Position","Posição do método de pagamento no checkout"
"Discount Coupons (Pix)","Cupom de Desconto do Pix"
"When enabling the option will appear a discount field for the buyer to use a discount coupon of the Pix on the payment form.","Ao ativar essa opção, aparecerá um campo de desconto no qual o usuário poderá inserir seu cupom de desconto criado no Pix."
"This setting will be the position in which the payment method will be available to the buyer.","Essa configuração é a posição na qual o método de pagamento estará disponível para o comprador."
"By default the module of Pix will configure a banner with the methods available according to your country, in case you want to customize it simply change the url of the image.","Por padrão, o módulo do Pix irá configurar um banner com os métodos disponíveis de acordo com o seu país, se você quiser personalizá-lo, basta alterar o URL da imagem."

"==================== CUSTOM CHECKOUT OFFLINE CONFIGURATION PAGE =====================","================================================"
"Custom Checkout - Offline Payments Methods (Ticket)","Custom Checkout - Métodos de Pagamento Offline (PIX)"
"Enabled","Habilitado"
"Payment Title","Titulo do Método de Pagamento"
"Banner Checkout","Banner Checkout"
"Exclude Payment Methods","Excluir métodos de pagamento"
"Select the payment methods you do NOT want to accept.","Selecione os métodos de pagamento que você NÃO deseja aceitar."
"Checkout Position","Posição do método de pagamento no checkout"
"Discount Coupons (Pix)","Cupom de Desconto do Pix"
"When enabling the option will appear a discount field for the buyer to use a discount coupon of the Pix on the payment form.","Ao ativar essa opção, aparecerá um campo de desconto no qual o usuário poderá inserir seu cupom de desconto criado no Pix."
"This setting will be the position in which the payment method will be available to the buyer.","Essa configuração é a posição na qual o método de pagamento estará disponível para o comprador."
"By default the module of Pix will configure a banner with the methods available according to your country, in case you want to customize it simply change the url of the image.","Por padrão, o módulo do Pix irá configurar um banner com os métodos disponíveis de acordo com o seu país, se você quiser personalizá-lo, basta alterar o URL da imagem."

"==================== v3.1.0 CUSTOM CHECKOUT BANK TRANSFER PAGE =====================","================================================"
"Custom Checkout - Bank Transfer","Custom Checkout - Transferência Bancária"
"Enabled","Habilitado"
"Payment Title","Titulo do Método de Pagamento"
"Checkout Position","Posição do método de pagamento no checkout"
"Redirect Payer","Redirecionar Comprador"
